,Клиент,unique_orders_count,unique_orders_order_list
152,SGS Group,1,[7975]
153,SICIM S.p.A. ,1,[7415]
154,SINTEC GROUP (СИНТЕК),1,[13323]
155,SMINEX,6,[ 8287 12521 13399 11706 11372 11330]
156,STANDARTSTROY KZ,1,[13993]
157,Saipem,2,[ 7649 10566]
158,Sakhalin Energy Investment Company,3,[ 8236 12554 12742]
159,Sanoat Energetika Guruhi,1,[14278]
160,SemArco (ГК Archirodon),1,[6876]
161,Seven Suns,1,[9805]
162,Sezar group,3,[ 8278  7093 12392]
163,Snab Torg Trans,1,[13769]
164,Sodexo,2,[9232 9795]
165,Stellar,16,"[ 8992  9425  9730 13978 14183  7237 12810 13065 13544 12252 12253 12118
 12076 11671 11376 10913]"
166,Strabag AG / Штрабаг АГ,1,[12581]
167,Strelka.kz,1,[7179]
168,TEKTA GROUP,2,[7432 7232]
169,TEXNOPARK,1,[13790]
170,TPОДОС,1,[10446]
171,Tekfen Construction and Installation Co.,2,[8807 9944]
172,Técnicas Reunidas,1,[10003]
173,UNEX STROY,4,[6675 6813 6861 7116]
174,Urban Gaming ,1,[8024]
175,VELLCOM group,1,[10949]
176,VHD Management ,1,[8711]
177,Villagio Estate,1,[11191]
178,WEST-ART,1,[9523]
179,Webergreen,1,[8973]
180,West Real Service,1,[8122]
181,X5 Retail Group N.V.,2,[9958 9736]
182,YAMATA (Ямата),2,[14042 14680]
183,Z BUILDING PROJECT,1,[9865]
184,ZHastaban Company,1,[7049]
185,doasap,1,[9005]
186,kvintec costruction,1,[13702]
187,mazko,1,[7315]
188,vetrostroidetal ,1,[8179]
189,А-Групп,1,[15338]
190,А-Девелопмент,1,[14189]
191,А-МОСТ,1,[13271]
192,А-Модульстрой,1,[9928]
193,А-Сервис,4,[13477 13534 13573 11653]
194,А-Строй Комплектация,1,[12065]
195,А-Техника,1,[10914]
196,А1 Проект,2,[14102 15300]
197,А101 Девелопмент,3,[ 8749  8095 10046]
198,А2 СЕРВИС,1,[9989]
199,А_ЛЕС,1,[7795]
200,АБАСТО ПРОФИТ,1,[10777]
201,АБВ,1,[12010]
202,АБЗ Троицк ,1,[7950]
203,АБМ,1,[13341]
204,АБС ЦДС (АСФАЛЬТБЕТОНСЕРВИС ЦДС),2,[9375 9665]
205,АБСОЛЮТ КАПИТАЛ,1,[10211]
206,АВ Майнинг,1,[11419]
207,АВАНГАРД,1,[10759]
208,АВАС ГРУПП,1,[10171]
209,АВЕЛАР СОЛАР ТЕХНОЛОДЖИ,1,[14289]
210,АВИОР,2,[12800 13502]
211,АВИСМА-СПЕЦРЕМОНТ,1,[7405]
212,АВН,1,[8976]
213,АВП-ГРУПП,2,[9031 8252]
214,АВТ,1,[14995]
215,АВТОГИД,1,[9530]
216,АВТОДОМ,1,[9451]
217,АВТОНОМ,1,[10124]
218,АВТОТАМ ЗАПАД,1,[11178]
219,АГ-УК,10,[ 9354  9522  9400  9313  9871  9882  9667 10153  9578 11289]
220,АГД ДАЙМОНДС,4,[ 9784 13864 12455 11652]
221,АГК-1,1,[7324]
222,АГОРА,1,[10270]
223,АГП Холдинг,2,[10459 10336]
