,Клиент,unique_orders_count,unique_orders_order_list
1268,Горный отдых,1,[8874]
1269,Город,1,[8330]
1270,Городская Энергетическая Служба,1,[10427]
1271,Городская клиническая больница № 17 ДЗМ,1,[10388]
1272,Городское агентство управления инвестициями,1,[10203]
1273,Горстройсервис,1,[11104]
1274,Горячева Екатерина Петровна,1,[15089]
1275,ГосМКБ Вымпел им. И.И. Торопова ,1,[8691]
1276,ГосНИИБП,1,[11072]
1277,Госкорпорация по ОрВД,3,[ 8404 11673 11279]
1278,Гравелстрой,1,[7351]
1279,Гравион-Констракшн,4,[12625 12797 13182 11558]
1280,Гранд Байкал,1,[13169]
1281,Гранд Дюк Рус,1,[11373]
1282,ГрандПром,2,[14789 12842]
1283,ГрандСтрой,1,[7751]
1284,Гранит,2,[10331 14405]
1285,Грачева ,1,[13739]
1286,Гребенюк Алексей,1,[7267]
1287,Гремячев ключ,1,[11306]
1288,Грибная компания,2,[ 9186 15037]
1289,Григорий ,1,[7550]
1290,Григорович Р.,1,[11615]
1291,Григорьевские сады (ИП Филиппова А.А),1,[10784]
1292,Григорян С. Г. ,1,[9641]
1293,Грин,1,[13316]
1294,Грин Стрим Инжиниринг Групп,1,[10953]
1295,Гринвич,2,[10403  9762]
1296,"Гринвич (РТС - РегионТехСтрой, КомплектСервис)",2,[12049 11668]
1297,Гринвич (РТС),5,[ 7133 12702 12909 12913 12270]
1298,Гроссманн Рус,1,[7086]
1299,Группа GEFCO,1,[6841]
1300,Группа ВИС,1,[9506]
1301,Группа Компаний ЩИТ ( ГК ЩИТ ),1,[15290]
1302,Группа Магнезит,3,[9159 7618 7688]
1303,Группа Оргсинтез,1,[8948]
1304,Группа Родина,2,[11797 11475]
1305,Группа Черкизово,4,[ 9255 14492 14503 14706]
1306,Группа компаний ЕКС,12,[ 8577  9077  7797  7915  7943  7973  8082 10382 10278  9586 11496 10826]
1307,Группа управления Проектом по созданию Военно-исторического парка Федюхины высоты,1,[8126]
1308,Гуров М.Б.,1,[9659]
1309,Гусейнов Г.Д. Оглы,1,[10958]
1310,Гыдей Руслан Васильевич,1,[8896]
1311,Д-Строй ,1,[7404]
1312,Д-ЭКО,1,[10517]
1313,ДА: КОРП,1,[15269]
1314,ДАЛЬНИЕ ДАЧИ,1,[8558]
1315,ДАР/ВОДГЕО,1,[7962]
1316,ДАРЪСТРОЙ,1,[8765]
1317,ДВ-ТЕХИНДУСТРИЯ,1,[13973]
1318,ДВАЗ,1,[14941]
1319,ДВГ КАПСТРОЙ,1,[14247]
1320,ДВЗ Звезда,1,[8751]
1321,ДВЗПТ,1,[15028]
1322,ДВК Групп,1,[8463]
1323,ДВК-инжиниринг,1,[8030]
1324,ДГСистема,1,[14154]
1325,ДГТ,1,[8465]
1326,ДЕКРА  КОНСТРАКШН,1,[8695]
1327,ДЕЛОВОЙ СОЮЗ,2,[10433 11288]
1328,ДЕНДРОСТРОЙ,2,[13277 12062]
1329,ДЕПАРТАМЕНТ ГОСЗАКАЗА ЯНАО,1,[13269]
1330,ДЕПАРТАМЕНТ ЗДРАВООХРАНЕНИЯ ВОРОНЕЖСКОЙ ОБЛАСТИ,1,[14282]
1331,ДЕТАЛИКА,1,[8823]
1332,ДИ Трейд Ойл,3,[12449 12339 12381]
1333,ДИ ЭЛ ДЖИ,1,[11565]
1334,ДИ-ЭС-ТИ ЭДВАЙЗОРС ЛИМИТЕД,1,[7024]
1335,ДИАКОН,2,[11311 11110]
1336,ДИАЛЛ АЛЬЯНС,4,[14962 13069 13655 12311]
1337,ДИЗЕЛЬ,1,[8787]
1338,ДИМОЛ,1,[13224]
1339,ДИНАМИКА-РУС,1,[10743]
1340,ДИП-Строй,1,[14626]
1341,ДИЭКО,2,[13982 14177]
1342,ДКРС РЖД,3,[8702 9879 9695]
1343,ДКРС оборудование,2,[9623 9651]
1344,ДЛ Холдинг,1,[6802]
1345,ДМЗ им. Н.П.Федорова,1,[15064]
1346,ДММ,1,[9306]
1347,ДМН-ГРУПП,4,[14398 15021 13329 11627]
1348,ДМСТР груп (DMSTR),1,[7003]
1349,ДМТехнологии,1,[8056]
1350,ДМЦ,1,[10757]
1351,ДО ДЮСШ,1,[13059]
1352,ДОМОДЕДОВО КАРГО,1,[6888]
1353,ДОНГИС,1,[14101]
1354,ДОНСКОЕ,2,[12396 12395]
1355,ДОНЭКОПАРК,1,[15246]
1356,ДОРСТРОЙ,1,[10577]
1357,ДОРСТРОЙСИНТЕЗ,1,[14898]
1358,ДОРТЕХИНЖИНИРИНГ,1,[9001]
1359,ДОРТРАНСМОСТ,3,[9112 9099 9160]
1360,ДПИ ВОСТОКПРОЕКТВЕРФЬ,1,[10334]
1361,ДПО РАР,1,[10816]
1362,ДРГ Техсистемс,1,[8214]
1363,ДРЕВСТРОЙТРАНС,2,[14739 13031]
1364,ДС Сосновка ДЗМ,1,[12943]
1365,ДС Строй,1,[13244]
1366,ДСК,1,[10505]
1367,ДСК Автобан,1,[13617]
1368,ДСК ГРУПП,1,[11396]
1369,ДСК ЧАРА,1,[8721]
1370,ДСО ПАРНАС,1,[10792]
1371,ДСУ-3,2,[8809 9970]
1372,ДУНАЕВ Ю.С.,1,[13489]
1373,ДФМ,1,[11397]
1374,ДХЗ-Производство,1,[14266]
1375,ДЭП№132,1,[9475]
1376,ДЭСЗС Москомспорт,2,[8860 8630]
1377,Давтян А.Г.,1,[11798]
1378,Дадонова Ольга Игоревна,1,[12566]
1379,ДальСтройПроект,1,[15090]
1380,Дальневосточная верфь,1,[13007]
1381,Дальневосточная инженерная компания (ДВИНКОМ),1,[14611]
1382,Дальпроектбюро,1,[13721]
1383,Дамате,1,[11969]
1384,Дамир Бикмаев ,1,[13080]
1385,Даниленко И.В.,1,[7316]
1386,Дар Мидаса,1,[14111]
1387,Дата Центр М100,2,[14821 15350]
1388,ДатаСпейсПартнерс,1,[14425]
1389,Дворец Спорта БОРИСОГЛЕБСКИЙ,1,[7755]
1390,Дворец спорта Видное,1,[12564]
1391,Дворец творчества детей и молодежи ,1,[10173]
1392,ДеФортис-ДиС,1,[12828]
1393,Девелоперские решения Недвижимость,2,[13990 15336]
1394,Девятый трест-комфорт,1,[12875]
1395,Декор,4,[12121 12027 11629 11370]
1396,Деловой центр нейрохирургии,1,[10188]
1397,Дельмар,1,[7539]
1398,Дельта Констракшн,1,[11438]
1399,Дельта-КИП,1,[8216]
1400,Дельта-Строй,1,[14631]
1401,ДельтаСервисГрупп,1,[7221]
1402,Деметра Холдинг (Дишнинский элеватор),1,[14593]
1403,Департамент капитального строительства города Севастополя,1,[8717]
1404,Департамент культуры Ямало-Ненецкого автономного округа,1,[13039]
1405,Департамент медико-социальных программ,1,[13253]
1406,Департамент охраны здоровья населения Кемеровской области,1,[7777]
1407,Департамента здравоохранения Орловской области,1,[8360]
1408,Депо Три вокзала,1,[11873]
1409,Детский сад №1,1,[10083]
1410,Детский санаторий Быково МВД России,1,[11361]
1411,Детский центр,1,[9249]
1412,Джета Трейд,3,[12367 12372 12385]
1413,Джи Три Групп,1,[13669]
1414,ДжиЭрСи,1,[13709]
1415,Джинко,3,[10815 11683 10942]
1416,Джон Дир Русь (John Deere Rus) ,1,[7140]
1417,Джурби ВотэТек,1,[15160]
1418,Ди Би Си,1,[14135]
1419,ДиМ,2,[10812 12628]
1420,ДиСиЭс Альянс,1,[11784]
1421,ДиаЛаб Плюс,1,[13219]
1422,ДиаСтро,1,[9584]
1423,Диво,1,[15030]
1424,Диджитэл Тек Энд Лаб,1,[14084]
1425,Дизайн времени,1,[11392]
1426,ДизайнФасад,1,[8402]
1427,Дизель Лайф,1,[14139]
1428,Дирекция Транспортного Агро-Логистического парка,1,[10137]
1429,Дирекция парков и скверов г. Нижний Новгород,1,[11161]
1430,Дирекция по содержанию имущества казны,1,[11469]
1431,Дирекция по строительству ДОКБ,1,[11587]
1432,Дирекция по эксплуатации ГТС и ликвидации ЭУ,1,[13147]
1433,Дирекция развития сети объектов здравоохранения Республики Дагестан,1,[14711]
1434,Дирекция спортивных и социальных проектов,1,[14851]
1435,Дитсманн,3,[12084 11827 11059]
1436,"Дмитрий, частное лицо",1,[7723]
1437,Дмитрогорский мясоперерабатывающий завод,1,[14402]
1438,Долгучан,1,[14481]
1439,Долженко Виктория,1,[8900]
1440,Долина Имений,1,[8993]
1441,Дом Глас,1,[7676]
1442,Дом.59,1,[11082]
1443,Доминант ГК,1,[7022]
1444,Домостроительный комбинат,2,[13110 13134]
1445,Домострой,1,[8763]
1446,Домострой НТ,1,[9274]
1447,Домстрой-Развитие,1,[9907]
1448,Дон Песчанка,1,[12772]
1449,ДонСтройИнвест,2,[14244 14528]
1450,ДорСнабЛипецк,1,[14828]
1451,ДорСтрой Гарант,1,[14707]
1452,ДорХан - Урал,1,[8457]
1453,Дорводпроект,1,[11597]
1454,Доринвест,1,[7409]
1455,Дорожно-строительное управление №1,1,[14549]
1456,Дорожные технологии,1,[10088]
1457,Дортрансстрой,1,[10910]
1458,Дота,2,[10624 10978]
1459,Дракон GOLD ,1,[7685]
1460,Дробмаш,1,[12530]
1461,Дружба,1,[8243]
1462,Дубинский,1,[8289]
1463,Дукат НовоСад,1,[13957]
1464,Дюрр Систем Рус,1,[6924]
1465,Дёке Экстружн,1,[11836]
1466,Дёмина И.В.,1,[11905]
1467,Е8,1,[14321]
1468,ЕВРАЗ,2,[13748 13178]
1469,ЕВРАЗ ЗСМК,1,[12050]
1470,ЕВРАЗ КАЧКАНАРСКИЙ ГОРНО-ОБОГАТИТЕЛЬНЫЙ КОМБИНАТ,1,[14863]
1471,ЕВРАЗ Стил Билдинг,3,[15123 15237 15346]
1472,ЕВРАЗ Южный Стан,1,[9305]
1473,ЕВРАКОР,2,[7704 8219]
1474,ЕВРАКОР Филиал СМТ №2 Западный,1,[7689]
1475,ЕВРОГРУП,2,[6724 6756]
1476,ЕВРОПРОДУКТ,1,[15154]
1477,ЕВРОСИБ СПБ-ТС,1,[14552]
1478,ЕВРОТЕХСТРОЙ,1,[10309]
1479,ЕВРОТРАНС ГРУПП,1,[11283]
1480,ЕВРОТРАНССТРОЙ,2,[6991 7157]
1481,ЕВРОХИМ-ПРОЕКТ,1,[13125]
1482,ЕВРОЦЕМЕНТ ГРУП,1,[13435]
1483,ЕИРЦ города Москвы,2,[12476 12541]
1484,ЕКАД: ЮЖНЫЙ,1,[13085]
1485,ЕНИГЮН,2,[13874 11006]
1486,ЕПРС (Ермаковское Предприятие По Ремонту Скважин),3,[8796 7615 7110]
1487,ЕРСМ Сибири,1,[13476]
1488,ЕС-ГРУП,1,[13897]
1489,ЕТС,3,[12973 13338 13352]
1490,ЕТУ,1,[14931]
1491,Евгений Давыдов,1,[7101]
1492,Евграфова Диляра,1,[6788]
1493,ЕвразХолдинг,2,[ 8921 11320]
1494,Евро-Билд,1,[14299]
1495,ЕвроМедХолдинг,1,[7964]
1496,ЕвроСибЭнерго-РГ,1,[12597]
1497,ЕвроСибЭнерго-инжиниринг,1,[11227]
1498,ЕвроХим Трейдинг Рус,2,[13389 11861]
1499,ЕвроХим-ВолгаКалий,1,[14622]
1500,ЕвроХим-Новомосковсий Азот,1,[9797]
1501,ЕвроХим-Усольский калийный комбинат,3,[ 9655 13956  6943]
1502,Евроазиатская энергетическая корпорация,1,[7671]
1503,Евроинтех,1,[10365]
1504,Евролюкс,1,[10579]
1505,Евростройподряд,1,[10469]
1506,Евротехника,1,[8224]
1507,Евротехэнерго,3,[ 8458  8870 13060]
1508,Егнышевские сады,1,[11779]
1509,Единая Служба Снабжения,1,[8029]
1510,Единство,6,[ 8611  9703 10453  9997 13079 11876]
1511,Единый оператор,3,[14090 15243 12408]
1512,Екатериновский элеватор,1,[11346]
1513,Елецкий Агрокомплек,1,[7536]
1514,Елжас,1,[9654]
1515,Елизаров Иван Васильевич,1,[14759]
1516,Елме Мессер К,1,[10625]
1517,Енер-холдинг,1,[10184]
1518,Енигюн Иншаат Санайи ве Тиджарет А.Ш.,2,[ 8972 10401]
1519,Еркин,1,[7172]
1520,ЖБК КУБ,1,[9750]
1521,ЖЛПК,2,[10406 13430]
1522,Жабский Д.В.,1,[10552]
1523,Жанар,1,[6776]
1524,Жаркова Е.С.,1,[12033]
1525,ЖелТрансАвтоматика,1,[12560]
1526,Жемчужина-фарм,1,[14756]
1527,ЖилСтройКом,1,[10116]
1528,Жилищник Рязанского района,1,[7794]
1529,Жилищник р-на Бибирево,1,[7209]
1530,Жилищник района Войковский,1,[9312]
1531,Жилищник района Москворечье-Сабурово,1,[14387]
1532,Жилищник района Соколиная гора,1,[9831]
1533,Жилищник района Фили-Давыдково,1,[10906]
1534,Жилкомсервис,1,[15208]
1535,Жилстрой,1,[12908]
1536,Жилстрой Девелопмент,1,[9847]
1537,Жировой комбинат,1,[13056]
1538,Жосан М.С.,1,[9596]
1539,Жуковский ШПЗ,1,[9380]
1540,ЗА ЖИЗНЬ,1,[12982]
1541,ЗАВОД КОРПУСОВ,1,[15266]
1542,ЗАВОД ПЕНОБЕТОН,1,[10796]
1543,ЗАВОД РиНМ,1,[15192]
1544,ЗАПАДНЫЕ ИНЖЕНЕРНЫЕ СИСТЕМЫ,2,[13327 13514]
1545,ЗАПАДНЫЙ ЛЁД,1,[12958]
1546,ЗАРКОМ,1,[7526]
1547,ЗАРУБЕЖДИПСТРОЙ,1,[11238]
1548,ЗБКиТ,2,[8550 8523]
1549,ЗБКиТ ( Завод Блочных Конструкций и Технологий ),2,[14334 15222]
1550,ЗВИ,1,[10547]
1551,ЗЕМСТРОЙИНВЕСТ,1,[14146]
1552,ЗИТЭС,1,[14773]
1553,ЗМЗ МОДУЛЬ-СТРОЙ,1,[14665]
1554,ЗМК Авангард.,2,[9069 9861]
1555,ЗМС-ТЕХНОЛОДЖИ,1,[13440]
1556,ЗНСМ,1,[7565]
1557,ЗОДЧИЙ,2,[13975 12638]
1558,ЗОЛОТО ДЕЛЬМАЧИК,5,[14160 14294 14420 14430 11711]
1559,ЗОЛОТО СЕЛИГДАРА,9,[10394  9582  9966 12647 12664 12830 12831 13425 12091]
1560,ЗОЛОТОПРОЕКТ,1,[14096]
1561,ЗР СЕВЕРЖИЛКОМСЕРВИС,1,[15228]
1562,ЗСК Уралгеотоп,1,[11763]
1563,ЗСО,1,[8364]
1564,ЗТИ-М,1,[10468]
1565,ЗТО,1,[12898]
1566,ЗУБР,1,[12575]
1567,Забайкальская Дирекция по ремонту пути структурное подразделение Центральной Дирекции по ремонту пути – филиал  РЖД,1,[8164]
1568,Завод Емкостного и Промышленного Оборудования,1,[14958]
1569,Завод КЭС,5,[10444 10345 10200 11693 11447]
1570,Завод Кристалл,1,[10092]
1571,Завод Протей,1,[13578]
1572,Завод РТИ-КАУЧУК,1,[7969]
1573,Завод Спецхипродукт,1,[13306]
1574,Завод Строительных Материалов и Конструкций,1,[9471]
1575,Завод Шинглас,1,[14948]
1576,Завод Энергомаш,1,[11810]
1577,Завод ЮГТРУБПЛАСТ,1,[14691]
1578,Завод строительных профилей,1,[8226]
1579,Загорская ГАЭС-2,1,[13348]
1580,Загорский Трубный Завод,1,[13317]
1581,Зайкин Владимир,1,[10019]
1582,Закаменск,1,[9719]
1583,ЗапПроектServis,1,[8942]
1584,ЗапСибГазпром-Газификация,7,[10415 14207 14748 14771 12892 13384 11206]
1585,ЗапСибНефтехим,1,[10474]
1586,ЗапСибЭнерго,1,[14690]
1587,Западно-Сибирская Строительная Компания,2,[13213 13358]
1588,Зарев М.С.,1,[13500]
1589,Зарнестсервис,1,[9978]
1590,Зарубежнефтестроймонтаж,1,[8538]
1591,ЗаряД,1,[13260]
1592,Здоровое наследие,1,[12649]
1593,Здоровье,1,[14300]
1594,Зевс,1,[12876]
1595,Зеленая Гавань,1,[7323]
1596,Земетчинская районная больница,1,[10014]
1597,ЗиТ,1,[9119]
1598,Зимовец Владимир Алексеевич,1,[7249]
1599,Зиракс,2,[10649 13215]
1600,Зитрон,1,[12603]
1601,Златоустовский металлургический завод,1,[11848]
1602,Злобин Антон Владимирович,1,[7655]
1603,Знание НН,3,[14045 14345 14366]
1604,Золотое кольцо,1,[6840]
1605,Золотой телец,1,[10287]
1606,Золоторудная Компания ПАВЛИК,17,"[ 7817  7833 10036 10494 10313  9817 10114 10049 10164  9565  9874 10489
 14151 11661 11599 11422 10893]"
1607,"Золоторудная компания ""Омчак""",2,[10473 10317]
1608,Зотимова Т.В.,1,[10594]
1609,Зырянов С.В.,1,[8054]
1610,ИKEA Сентерс Рус Оперэйшн,1,[7422]
1611,ИАС24,1,[10718]
1612,ИБТ,10,[ 9369  7666  7843 10604 13870  6721  6775  6933  7053  7198]
1613,ИБХ,1,[14947]
1614,ИВК АИР-групп,1,[14956]
1615,ИГРОВОЕ ПРОСТРАНСТВО,1,[12924]
1616,ИДДИ №1,1,[15097]
1617,ИЗ-КАРТЭКС имени П.Г.Коробкова,1,[13357]
1618,ИК СИБИНТЕК,3,[ 9250  8912 10222]
1619,ИК Энергетические технологии,1,[9252]
1620,ИК ЮГО-ВОСТОК,1,[10326]
1621,ИК-5 УФСИН,1,[13042]
1622,ИК-7 УФСИН ,1,[12450]
1623,ИКС Орехово-Зуево,1,[10708]
1624,ИЛК ИНШААТ,2,[13238 13255]
1625,ИЛЬИНСКАЯ СШ АВАНГАРД,1,[12439]
1626,ИМПЕРИЯ БЕЗОПАСНОСТИ,1,[10400]
1627,ИМПУЛЬС,1,[10057]
1628,ИН-Приз,1,[13487]
1629,ИНВАТАКСИ,1,[10369]
1630,ИНВЕНТОР,1,[12914]
1631,ИНВЕСТ ГРУПП,2,[13964 14050]
1632,ИНВЕСТ ТРЕЙД,2,[13925 13139]
1633,ИНВИТЕК МЕНЕДЖМЕНТ,1,[13746]
1634,ИНЖЕНЕРНЫЙ ЦЕНТР ЭНЕРГОСЕРВИС,1,[13725]
1635,ИНЖИНИРИНГ (ГК),1,[12819]
1636,ИНЖИНИРИНГОВАЯ КОМПАНИЯ ГЛАВСТРОЙ,3,[10722 11682 11014]
1637,ИНЖИНИРИНГОВЫЙ ЦЕНТР ТРАНСЭНЕРГО,1,[11719]
1638,ИНЖПРОМСТРОЙ,1,[13189]
1639,ИНЖСПЕЦСТРОЙ 10,3,[9324 9364 9002]
1640,ИНКОЛАБ СЕРВИСЕЗ РАША,1,[8492]
1641,ИНКОМПАРТС,1,[6929]
1642,ИНКОР Менеджмент,1,[10178]
1643,ИНЛИМА,1,[13455]
1644,ИНСТРОЙКОМ,1,[15034]
1645,ИНСТРОЙПРОЕКТ,1,[15074]
1646,ИНТЕГРАЛ-Инжиниринг,1,[12612]
1647,ИНТЕГРАЛ-СТРОЙ,1,[14006]
1648,ИНТЕКО,1,[8206]
1649,ИНТЕЛЛЕКТ-СТРОЙ,2,[10377 13891]
1650,ИНТЕЛТРАНСПРОЕКТ,1,[13673]
1651,ИНТЕР,1,[9697]
1652,ИНТЕР-ХОЛОД,1,[8257]
1653,ИНТЕРЛАБ,1,[14043]
1654,ИНТЕРМОДУЛЬ РУС,1,[12959]
1655,ИНТЕРСТРОЙ,6,[9359 9158 8636 9439 9358 6939]
1656,ИНТЕРТОРГ,2,[12794 11061]
1657,ИНТЕХ,1,[14205]
1658,ИНТУЛ,1,[13708]
1659,ИНТЭНС ИНЖИНИРИНГ,3,[11956 11098 11002]
1660,ИНФИНИТИ,1,[10808]
1661,ИНФРА ПРОЕКТЫ,1,[14784]
1662,ИОНООБМЕННЫЕ ТЕХНОЛОГИИ,5,[ 8382  7545 10100  9948  9832]
1663,ИП Напалов,1,[13922]
1664,ИПИГAЗ,1,[12608]
1665,ИПС,1,[11814]
1666,ИРКУТСКАЯ БАЗА АВИАЦИОННОЙ И НАЗЕМНОЙ ОХРАНЫ ЛЕСОВ,1,[14212]
1667,ИРМАСТ-холдинг,2,[15316 11593]
1668,ИС-Проект,4,[9162 7506 7670 7859]
1669,ИСК Альянс,1,[13241]
1670,ИСК Гардиан,2,[13929 13565]
1671,ИСМ,3,[9460 7830 6784]
1672,ИСМК-Т,1,[9986]
1673,ИСО,2,[9881 9836]
1674,ИСПРАВИТЕЛЬНАЯ КОЛОНИЯ № 6 УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО РЕСПУБЛИКЕ САХА (ЯКУТИЯ),1,[15033]
1675,ИСТ,1,[11417]
1676,ИТЕРАНЕТ,1,[9527]
1677,ИТЦ Энергоэксперт,1,[9595]
1678,ИТЭК,1,[8855]
1679,ИТЭЛМА ДЕВЕЛОПМЕНТ,1,[13591]
1680,ИФСК АРКС,3,[ 9346  8879 11485]
1681,ИЦ АТХ,1,[10926]
1682,ИЦ ГазИнформПласт,1,[13821]
1683,ИЦ ЕВРОСИБЭНЕРГО,1,[15245]
1684,ИЦ Стройэксперт,1,[9992]
1685,ИЦ Энергострой,1,[13890]
1686,ИЧИ,1,[13137]
1687,ИЭК-инвест,1,[9590]
1688,Иванов В. В.,1,[7192]
1689,Иванов И.,1,[9694]
1690,Ивелен,1,[13679]
1691,Игора Драйв,1,[13892]
1692,Иж Ойл,1,[14268]
1693,Измерительная техника,1,[10715]
1694,Изобилие,1,[11137]
1695,Иконников А.В.,1,[12431]
1696,Илим Гофра,1,[8828]
1697,Илкон,1,[14368]
1698,Илстрим,1,[11449]
1699,Ильский НПЗ,18,"[ 9240  9244  7722 10226 13742 13872 13953 14347 15036 12957 13068 12250
 12274 12204 12032 11818 11712 11310]"
1700,Илья...,1,[7241]
1701,Имарат Строй,1,[12257]
1702,Имение Хвостовых,1,[14273]
1703,Импера,1,[13246]
1704,Империя Стиля,1,[14206]
1705,Импульс плюс,1,[9603]
1706,Ин-Про,2,[ 8344 10837]
1707,ИнБР,1,[8553]
1708,ИнТех,1,[8040]
1709,ИнТехЭнерго ,1,[7784]
1710,Инвест Контакт,1,[11675]
1711,ИнвестЖилСтрой,1,[9396]
1712,ИнвестТрейд,3,[ 8938 10223 10289]
1713,Инвестгеосервис,4,[ 7752  8249 10311 11287]
1714,Инвестиции и строительство,1,[6795]
1715,Инвестэнергострой,1,[11076]
1716,Инвестэнерготранс (ИЭТ),1,[14609]
1717,Ингка Сентерс Рус Проперти А,1,[11292]
1718,Индустрия,2,[8131 9626]
1719,Индустрия развития,1,[9535]
1720,Индюшкин двор,1,[14857]
1721,ИнжПроектСервис,2,[ 8378 10072]
1722,ИнжСтрой-Инновации,1,[10408]
1723,ИнжСтройПроект,3,[12475 13559 11954]
1724,Инженерно-Строительная Компания ,1,[11516]
1725,Инженерно-строительные системы,2,[11639 11607]
1726,Инженерно-техническое бюро,1,[14765]
1727,Инженерное проектирование,1,[13984]
1728,Инженерные проекты,1,[8473]
1729,Инженерные сети и коммуникации,1,[9693]
1730,Инженерный Центр ГИПАР,1,[11696]
1731,Инженерный Центр Энергетики,1,[13561]
1732,Инженерный центр  ЭНЕРГОАУДИТКОНТРОЛЬ,1,[12290]
1733,Инженерный центр - Газотурбинные технологии,1,[6957]
1734,Инжиниринг,3,[ 7590  7721 10844]
1735,Инжиниринг  технологии  системы,1,[9627]
1736,Инжиниринг Доберсек ГмбХ,1,[15134]
1737,Инжиниринг ЭВ,3,[7393 7534 7668]
1738,Инжиниринговая Компания 2К,1,[10533]
1739,Инжиниринговая компания,1,[10586]
1740,Инжиниринговая корпорация Институт промышленного строительства,1,[6782]
1741,Инициативы развития Армении,1,[8506]
1742,ИнкомСтрой,1,[13126]
1743,Инкомгормаш,1,[10641]
1744,Инкомстрой,2,[ 8366 12454]
1745,Инмодуль Экспорт,1,[8986]
1746,Иннова Констракшн Груп,1,[12227]
1747,Иннова МТ,1,[11048]
1748,Инновационное Управление Строительством,1,[11215]
1749,Инновационные конструкции ,2,[12388 11502]
1750,Инсайт,1,[9027]
1751,Инстайл Групп,1,[11122]
1752,Институт Гипростроймост,1,[8914]
1753,Институт Гипротранспуть,1,[7126]
1754,Институт Оргэнергострой,7,[10130 10490 10707 10239 14731 12897 10979]
1755,Инстрой,1,[8608]
1756,Интал ,1,[7309]
1757,Интегра,2,[ 8183 11850]
1758,Интегра Инжиниринг,1,[12255]
1759,ИнтелТехСтрой,1,[10693]
1760,Интелл-Монтаж,1,[10379]
1761,Интеллектуальные системы,2,[15117 12766]
1762,Интер РАО - Центр управления закупками,1,[14794]
1763,Интер РАО-Инжиниринг,6,[ 6955  7171  7312 11720 10985 10964]
1764,Интер РАО-Экспорт,1,[7573]
1765,Интер Стоун,1,[10616]
1766,ИнтерКом,1,[12059]
1767,ИнтерКрафт,1,[14477]
1768,ИнтерЛизинг,1,[7824]
1769,Интеравиа-сервис,1,[6828]
1770,ИнтерметГрупп,2,[ 8652 12273]
1771,Интернет Решения,1,[11999]
1772,Интерсервис,1,[7088]
1773,Интертех,1,[8764]
1774,Интерэнерго,2,[8837 8240]
1775,Интехвод,1,[9721]
1776,Инфекционная клиническая больница,1,[12552]
1777,ИнфоТех Балаково,1,[12292]
1778,Информационные Технологии и Строительство,1,[12298]
1779,Инфралинк,1,[10802]
1780,Ирбейский разрез,1,[10413]
1781,Ирбис Инжиниринг,1,[13150]
1782,Иргиредмет ,3,[ 7549 14311 13212]
1783,Иркутская Нефтяная компания,7,[ 8887  8235  9949 12905 13033 13376 13638]
1784,Иркутскпромоборудование,1,[10672]
1785,Ирокинда,1,[14786]
1786,Исполнение ГосПодряда,1,[9321]
1787,Исправительная колония № 12 Главного управления Федеральной службы исполнения наказаний по Свердловской области,1,[12708]
1788,Ист-Вест,1,[13519]
1789,Истконсалт (Eastconsult),2,[ 7384 11053]
1790,Истра-Интех,1,[14178]
1791,Йылмаз,1,[9727]
1792,К-Поташ ,1,[8799]
1793,К-РУС,1,[12696]
1794,К-Строй,1,[10087]
1795,К-Электротехник,1,[8385]
1796,КАВКАЗ ГРАНИТ,1,[14124]
1797,КАВКАЗ.РФ,2,[13877 13278]
1798,"КАЗ им. С.П. Горбунова-филиал ПАО ""Туполев""",2,[13283 13426]
1799,КАЗ.АРМ.НЕФТЬ,1,[8474]
1800,КАЗАНЬ-ТЕЛЕМАТИКА,1,[14798]
1801,КАЗКОМПЛЕКТСТРОЙ,1,[13285]
1802,КАЗКОМСЕРВИС,1,[11415]
1803,КАЙРОС ИНЖИНИРИНГ,1,[15328]
1804,КАЛЕСТРОЙ,1,[8875]
1805,КАЛУГАГЛАВСНАБ,1,[12700]
1806,КАМА КАРТОН,1,[13229]
1807,КАМПАР,1,[7771]
1808,КАНЕКС ШАХТОСТРОЙ,1,[15272]
1809,КАНТРЕВА,2,[8520 8073]
1810,КАПСТРОЙ,3,[ 7764 11148 11113]
1811,КАРАСЬ И.В.,1,[12569]
1812,КАРАТ,1,[14873]
1813,КАРАТ – Тольятти,2,[11781 11528]
1814,КАРГИЛЛ,1,[15293]
1815,КАРПУХИН К.В.,1,[10573]
1816,КАТКОнефть,1,[13409]
1817,КБ Импульс,1,[14952]
1818,КБ Инженерные системы,1,[10266]
1819,КБК-Групп,1,[7820]
1820,КБП,1,[7913]
1821,КБР Ист,1,[12329]
1822,КВАДР,2,[14162 15025]
1823,КВАДРОСТРОЙ,1,[14348]
1824,КВАРЦ-Новые Технологии,1,[10886]
1825,КВАРЦВЕРКЕ УЛЬЯНОВСК,1,[13894]
1826,КВВ-АГРО,1,[14342]
1827,КВИН ПРОЕКТ,1,[12318]
1828,КВС,1,[7922]
1829,КГБ,1,[9552]
1830,КД-Проект,1,[14153]
1831,КДВ ВОРОНЕЖ,1,[13667]
1832,КДМ,1,[13292]
1833,КДР-Групп,1,[14970]
1834,КДС ,1,[7672]
1835,КЕС (КЕSZ LLC),1,[6999]
1836,КЖД,2,[14811 11998]
1837,КЗМК 45,1,[10555]
1838,КЗПАТ,1,[11134]
